COLONIA DEL HECHO,counts,ADDRESS,location,point,latitude,longitude
JARDINES DE LA MESA,352,"JARDINES DE LA MESA,Tijuana,Mexico","Jardines, Calle Mar De Cortés, Constitución de 1917, El Porvenir, Tijuana, Municipio de Tijuana, Baja California, 22640, México","(32.49016, -116.922158, 0.0)",32.49016,-116.922158
POBLADO EJIDO MATAMOROS,349,"POBLADO EJIDO MATAMOROS,Tijuana,Mexico",,,32.518,-116.855
COLINAS DE CALIFORNIA,348,"COLINAS DE CALIFORNIA,Tijuana,Mexico","Colinas de California, Del. Sanchez Taboada, Tijuana, Municipio de Tijuana, Baja California, 22647, México","(32.4664709, -117.0043899, 0.0)",32.4664709,-117.0043899
VILLAS DE BAJA CALIFORNIA,345,"VILLAS DE BAJA CALIFORNIA,Tijuana,Mexico","Hyspan de México, Privada Villas de San Antonio, Real de Loma Bonita, Del. Sanchez Taboada, Tijuana, Municipio de Tijuana, Baja California, 22626, México","(32.476142, -117.03845768130552, 0.0)",32.476142,-117.03845768130552
LOS ALTOS,343,"LOS ALTOS,Tijuana,Mexico","Los Altos, Del. Sanchez Taboada, La Joya, Municipio de Tijuana, Baja California, 22217, México","(32.4452336, -116.9985031, 0.0)",32.4452336,-116.9985031
HIPODROMO,340,"HIPODROMO,Tijuana,Mexico","Galerías Hipódromo, Misiones de Pedregal Fraccionamiento, Tijuana, Municipio de Tijuana, Baja California, México","(32.50850895, -116.99274531878237, 0.0)",32.50850895,-116.99274531878237
LOS LOBOS,339,"LOS LOBOS,Tijuana,Mexico",,,32.5026,-116.8991
URBIVILLA DEL PRADO 2,338,"URBIVILLA DEL PRADO 2,Tijuana,Mexico",,,32.4229,-116.9691
CACHO,337,"CACHO,Tijuana,Mexico","Madero (La Cacho), Tijuana, Municipio de Tijuana, Baja California, 22040, México","(32.520464, -117.027871, 0.0)",32.520464,-117.027871
EJIDO CHILPANCINGO,319,"EJIDO CHILPANCINGO,Tijuana,Mexico","Calle Ejido Chilpancingo, Valencia, Jardín Dorado, Chilpancingo, Municipio de Tijuana, Baja California, 22207, México","(32.5149685, -116.9028461, 0.0)",32.5149685,-116.9028461
VILLA FONTANA,318,"VILLA FONTANA,Tijuana,Mexico","Villa Fontana, El Dorado, Valle Verde, Tijuana, Municipio de Tijuana, Baja California, 22205, México","(32.5065109, -116.8719097, 0.0)",32.5065109,-116.8719097
LOMAS VIRREYES,317,"LOMAS VIRREYES,Tijuana,Mexico","Lomas Virreyes, Municipio de Tijuana, Baja California, 22230, México","(32.4571167, -116.8868715, 0.0)",32.4571167,-116.8868715
